date	island	site	point	time	spp	numind	dist	occasion
6/24/11	Rota	Palii	Pc	554	Toch	2	15	3
6/24/11	Rota	Palii	Pc	554	Rhru	1	30	3
6/24/11	Rota	Palii	Pc	554	Ptro	1	60	3
6/24/11	Rota	Palii	Pc	554	Toch	1	50	3
6/24/11	Rota	Palii	Pb	609	Rhru	1	35	3
6/24/11	Rota	Palii	Pb	609	Rhru	1	25	3
6/24/11	Rota	Palii	Pb	609	Stbi	1	90	3
6/24/11	Rota	Palii	Pb	609	Apop	1	40	3
6/24/11	Rota	Palii	Pb	609	Toch	1	60	3
6/24/11	Rota	Palii	Pb	609	Dima	1	35	3
6/24/11	Rota	Palii	Pb	609	Ptro	1	95	3
6/24/11	Rota	Palii	Pb	609	Ptro	1	70	3
6/24/11	Rota	Palii	Pb	609	Rhru	1	35	3
6/24/11	Rota	Palii	Pb	609	Ptro	1	35	3
6/24/11	Rota	Palii	Pb	609	Ptro	1	70	3
6/24/11	Rota	Palii	Pb	609	Apop	1	35	3
6/24/11	Rota	grvpt	Ga	644	Ptro	1	50	3
6/24/11	Rota	grvpt	Ga	644	Dima	1	25	3
6/24/11	Rota	grvpt	Ga	644	Ptro	1	60	3
6/24/11	Rota	grvpt	Ga	644	Dima	1	40	3
6/24/11	Rota	grvpt	Ga	644	Rhru	1	25	3
6/24/11	Rota	grvpt	Ga	644	Gaxa	1	23	3
6/24/11	Rota	grvpt	Ga	644	Toch	1	50	3
6/24/11	Rota	grvpt	Ga	644	Ptro	1	80	3
6/24/11	Rota	grvpt	Ga	644	Ptro	1	60	3
6/24/11	Rota	grvpt	Gc	701	Ptro	1	35	3
6/24/11	Rota	grvpt	Gc	701	Ptro	1	40	3
6/24/11	Rota	grvpt	Gc	701	Rhru	1	55	3
6/24/11	Rota	grvpt	Gc	701	Rhru	1	40	3
6/24/11	Rota	grvpt	Gc	701	Ptro	1	50	3
6/24/11	Rota	grvpt	Gc	701	Coku	2	50	3
6/24/11	Rota	grvpt	Gc	701	Apop	1	40	3
6/24/11	Rota	grvpt	Gc	701	Toch	1	45	3
6/24/11	Rota	grvpt	Gc	701	Toch	1	25	3
6/24/11	Rota	grvpt	Gc	701	Ptro	1	90	3
6/24/11	Rota	grvpt	Gc	701	Rhru	1	22	3
6/24/11	Rota	grvpt	Gc	701	Myru	1	25	3
6/24/11	Rota	grvpt	Gc	701	Gaxa	1	50	3
6/24/11	Rota	grvpt	Gb	717	Rhru	1	27	3
6/24/11	Rota	grvpt	Gb	717	Rhru	1	22	3
6/24/11	Rota	grvpt	Gb	717	Rhru	1	18	3
6/24/11	Rota	grvpt	Gb	717	Apop	1	16	3
6/24/11	Rota	grvpt	Gb	717	Ptro	1	50	3
6/24/11	Rota	grvpt	Gb	717	Ptro	1	90	3
6/24/11	Rota	grvpt	Gb	717	Ptro	2	40	3
6/24/11	Rota	grvpt	Gb	717	Toch	1	40	3
6/24/11	Rota	grvpt	Gb	717	Apop	1	40	3
6/24/11	Rota	grvpt	Gb	717	Toch	1	50	3
6/24/11	Rota	grvpt	Gb	717	Rhru	1	3	3
6/24/11	Rota	grvpt	Gb	717	Apop	1	20	3
6/24/11	Rota	grvpt	Gb	717	Dima	1	40	3
6/24/11	Rota	Isang	Ia	818	Rhru	1	30	3
6/24/11	Rota	Isang	Ia	818	Rhru	1	27	3
6/24/11	Rota	Isang	Ia	818	Gaga	1	50	3
6/24/11	Rota	Isang	Ia	818	Apop	1	30	3
6/24/11	Rota	Isang	Ia	818	Ptro	2	70	3
6/24/11	Rota	Isang	Ia	818	Apop	1	30	3
6/24/11	Rota	Isang	Ia	818	Dima	1	35	3
